Timestamp,Blind Zone ID,Inferred From,Calibrated Pressure (bar),Physics Delta (bar),Calibrated Flow (LPS)
2026-03-21 20:09:07,Z05,Z06 & Z02,1.364,0.031,41.99
2026-03-21 20:09:07,Z07,Z08 & Z06,1.341,-0.005,32.74
2026-03-21 20:09:09,Z03,Z01 & Z04,1.363,0.013,59.59
2026-03-21 20:09:09,Z05,Z06 & Z02,1.336,-0.001,37.33
2026-03-21 20:09:09,Z07,Z08 & Z06,1.284,-0.056,27.51
2026-03-21 20:09:09,Z03,Z01 & Z04,1.415,0.075,60.93
2026-03-21 20:09:09,Z05,Z06 & Z02,1.427,0.09,34.3
2026-03-21 20:09:09,Z07,Z08 & Z06,1.445,0.106,28.27
2026-03-21 20:09:11,Z03,Z01 & Z04,1.367,0.013,55.69
2026-03-21 20:09:11,Z05,Z06 & Z02,1.353,0.003,47.02
2026-03-21 20:09:11,Z07,Z08 & Z06,1.348,0.008,36.77
2026-03-21 20:09:11,Z03,Z01 & Z04,1.408,0.057,62.04
2026-03-21 20:09:11,Z05,Z06 & Z02,1.47,0.119,35.43
2026-03-21 20:09:11,Z07,Z08 & Z06,1.435,0.094,31.75
2026-03-21 20:09:13,Z03,Z01 & Z04,1.374,0.01,54.92
2026-03-21 20:09:13,Z05,Z06 & Z02,1.523,0.157,38.03
2026-03-21 20:09:13,Z07,Z08 & Z06,1.502,0.168,29.41
2026-03-21 20:09:13,Z03,Z01 & Z04,1.354,0.016,54.23
2026-03-21 20:09:13,Z05,Z06 & Z02,1.455,0.111,34.74
2026-03-21 20:09:13,Z07,Z08 & Z06,1.541,0.188,27.15
2026-03-21 20:09:15,Z03,Z01 & Z04,1.354,0.013,63.15
2026-03-21 20:09:15,Z05,Z06 & Z02,1.406,0.048,42.3
2026-03-21 20:09:15,Z07,Z08 & Z06,1.343,0.008,33.88
2026-03-21 20:09:15,Z03,Z01 & Z04,1.278,-0.072,58.44
2026-03-21 20:09:15,Z05,Z06 & Z02,1.301,-0.031,42.31
2026-03-21 20:09:15,Z07,Z08 & Z06,1.285,-0.053,33.96
2026-03-21 20:09:17,Z03,Z01 & Z04,1.528,0.18,58.58
2026-03-21 20:09:17,Z05,Z06 & Z02,1.451,0.091,41.59
2026-03-21 20:09:17,Z07,Z08 & Z06,1.489,0.141,28.66
2026-03-21 20:09:17,Z03,Z01 & Z04,1.457,0.108,61.7
2026-03-21 20:09:17,Z05,Z06 & Z02,1.361,-0.004,38.11
2026-03-21 20:09:17,Z07,Z08 & Z06,1.378,0.015,29.76
2026-03-21 20:09:19,Z03,Z01 & Z04,1.361,0.025,61.08
2026-03-21 20:09:19,Z05,Z06 & Z02,1.358,0.028,33.98
2026-03-21 20:09:19,Z07,Z08 & Z06,1.452,0.117,31.07
2026-03-21 20:09:19,Z03,Z01 & Z04,1.408,0.075,66.07
2026-03-21 20:09:19,Z05,Z06 & Z02,1.482,0.128,37.44
2026-03-21 20:09:19,Z07,Z08 & Z06,1.392,0.044,30.31
2026-03-21 20:09:21,Z03,Z01 & Z04,1.401,0.04,59.33
2026-03-21 20:09:21,Z05,Z06 & Z02,1.483,0.147,37.64
2026-03-21 20:09:21,Z07,Z08 & Z06,1.421,0.083,34.29
2026-03-21 20:09:22,Z03,Z01 & Z04,1.374,0.028,63.69
2026-03-21 20:09:22,Z05,Z06 & Z02,1.461,0.121,38.5
2026-03-21 20:09:22,Z07,Z08 & Z06,1.48,0.138,31.12
2026-03-21 20:09:23,Z03,Z01 & Z04,1.368,0.035,62.06
2026-03-21 20:09:23,Z05,Z06 & Z02,1.375,0.033,41.78
2026-03-21 20:09:23,Z07,Z08 & Z06,1.291,-0.059,26.84
2026-03-21 20:09:24,Z03,Z01 & Z04,1.443,0.074,62.68
2026-03-21 20:09:24,Z05,Z06 & Z02,1.328,-0.039,45.64
2026-03-21 20:09:24,Z07,Z08 & Z06,1.413,0.049,37.01
2026-03-21 20:09:25,Z03,Z01 & Z04,1.35,-0.014,67.46
2026-03-21 20:09:25,Z05,Z06 & Z02,1.465,0.114,44.68
2026-03-21 20:09:25,Z07,Z08 & Z06,1.403,0.041,30.2
2026-03-21 20:09:26,Z03,Z01 & Z04,1.385,0.028,64.88
2026-03-21 20:09:26,Z05,Z06 & Z02,1.336,-0.033,34.86
2026-03-21 20:09:26,Z07,Z08 & Z06,1.317,-0.028,29.35
2026-03-21 20:09:27,Z03,Z01 & Z04,1.384,0.045,51.31
2026-03-21 20:09:27,Z05,Z06 & Z02,1.405,0.053,36.18
2026-03-21 20:09:27,Z07,Z08 & Z06,1.507,0.149,30.25
2026-03-21 20:09:28,Z03,Z01 & Z04,1.349,0.013,61.0
2026-03-21 20:09:28,Z05,Z06 & Z02,1.275,-0.078,34.09
2026-03-21 20:09:28,Z07,Z08 & Z06,1.34,-0.015,27.64
2026-03-21 20:09:29,Z03,Z01 & Z04,1.374,0.039,72.27
2026-03-21 20:09:29,Z05,Z06 & Z02,1.313,-0.028,38.91
2026-03-21 20:09:29,Z07,Z08 & Z06,1.332,-0.014,26.74
2026-03-21 20:09:30,Z03,Z01 & Z04,1.443,0.087,64.71
2026-03-21 20:09:30,Z05,Z06 & Z02,1.35,-0.009,44.16
2026-03-21 20:09:30,Z07,Z08 & Z06,1.372,0.021,32.18
2026-03-21 20:09:31,Z03,Z01 & Z04,1.349,0.011,67.18
2026-03-21 20:09:31,Z05,Z06 & Z02,1.441,0.102,35.44
2026-03-21 20:09:31,Z07,Z08 & Z06,1.437,0.105,30.06
2026-03-21 20:09:32,Z03,Z01 & Z04,1.298,-0.064,54.52
2026-03-21 20:09:32,Z05,Z06 & Z02,1.374,0.016,40.27
2026-03-21 20:09:32,Z07,Z08 & Z06,1.306,-0.061,36.64
2026-03-21 20:09:33,Z03,Z01 & Z04,1.343,-0.012,64.01
2026-03-21 20:09:33,Z05,Z06 & Z02,1.49,0.149,42.09
2026-03-21 20:09:33,Z07,Z08 & Z06,1.46,0.128,33.44
2026-03-21 20:09:34,Z03,Z01 & Z04,1.486,0.145,62.55
2026-03-21 20:09:34,Z05,Z06 & Z02,1.458,0.096,41.17
2026-03-21 20:09:34,Z07,Z08 & Z06,1.388,0.036,33.48
2026-03-21 20:09:35,Z03,Z01 & Z04,1.333,-0.008,65.93
2026-03-21 20:09:35,Z05,Z06 & Z02,1.389,0.054,41.99
2026-03-21 20:09:35,Z07,Z08 & Z06,1.363,0.02,31.25
2026-03-21 20:09:36,Z03,Z01 & Z04,1.444,0.093,63.09
2026-03-21 20:09:36,Z05,Z06 & Z02,1.526,0.176,40.29
2026-03-21 20:09:36,Z07,Z08 & Z06,1.463,0.106,27.45
2026-03-21 20:09:37,Z03,Z01 & Z04,1.48,0.125,65.19
2026-03-21 20:09:37,Z05,Z06 & Z02,1.378,0.03,41.57
2026-03-21 20:09:37,Z07,Z08 & Z06,1.282,-0.058,32.92
2026-03-21 20:09:38,Z03,Z01 & Z04,1.366,-0.003,63.17
2026-03-21 20:09:38,Z05,Z06 & Z02,1.414,0.071,42.79
2026-03-21 20:09:38,Z07,Z08 & Z06,1.519,0.152,32.75
2026-03-21 20:09:39,Z03,Z01 & Z04,1.378,0.04,60.13
2026-03-21 20:09:39,Z05,Z06 & Z02,1.394,0.046,38.72
2026-03-21 20:09:39,Z07,Z08 & Z06,1.491,0.127,29.78
2026-03-21 20:09:40,Z03,Z01 & Z04,1.419,0.068,57.0
2026-03-21 20:09:40,Z05,Z06 & Z02,1.508,0.138,39.81
2026-03-21 20:09:40,Z07,Z08 & Z06,1.399,0.044,30.52
2026-03-21 20:09:41,Z03,Z01 & Z04,1.456,0.107,54.66
2026-03-21 20:09:41,Z05,Z06 & Z02,1.428,0.069,43.05
2026-03-21 20:09:41,Z07,Z08 & Z06,1.365,0.025,33.29
2026-03-21 20:09:42,Z03,Z01 & Z04,1.351,0.0,65.69
2026-03-21 20:09:42,Z05,Z06 & Z02,1.438,0.08,42.58
2026-03-21 20:09:42,Z07,Z08 & Z06,1.469,0.122,33.24
2026-03-21 20:09:43,Z03,Z01 & Z04,1.429,0.073,67.53
2026-03-21 20:09:43,Z05,Z06 & Z02,1.41,0.064,41.14
2026-03-21 20:09:43,Z07,Z08 & Z06,1.501,0.16,32.64
2026-03-21 20:09:44,Z03,Z01 & Z04,1.483,0.136,62.0
2026-03-21 20:09:44,Z05,Z06 & Z02,1.455,0.109,37.54
2026-03-21 20:09:44,Z07,Z08 & Z06,1.441,0.097,33.76
2026-03-21 20:09:45,Z03,Z01 & Z04,1.399,0.047,60.73
2026-03-21 20:09:45,Z05,Z06 & Z02,1.43,0.078,42.43
2026-03-21 20:09:45,Z07,Z08 & Z06,1.518,0.176,35.47
2026-03-21 20:09:46,Z03,Z01 & Z04,1.404,0.034,60.63
2026-03-21 20:09:46,Z05,Z06 & Z02,1.453,0.102,42.32
2026-03-21 20:09:46,Z07,Z08 & Z06,1.408,0.043,35.59
2026-03-21 20:09:47,Z03,Z01 & Z04,1.4,0.06,63.09
2026-03-21 20:09:47,Z05,Z06 & Z02,1.468,0.117,41.42
2026-03-21 20:09:47,Z07,Z08 & Z06,1.45,0.114,34.65
2026-03-21 20:09:48,Z03,Z01 & Z04,1.32,-0.049,66.73
2026-03-21 20:09:48,Z05,Z06 & Z02,1.357,0.02,41.2
2026-03-21 20:09:48,Z07,Z08 & Z06,1.367,0.006,28.71
2026-03-21 20:09:49,Z03,Z01 & Z04,1.447,0.112,60.86
2026-03-21 20:09:49,Z05,Z06 & Z02,1.276,-0.066,41.42
2026-03-21 20:09:49,Z07,Z08 & Z06,1.308,-0.051,34.54
2026-03-21 20:09:50,Z03,Z01 & Z04,1.403,0.035,57.38
2026-03-21 20:09:50,Z05,Z06 & Z02,1.475,0.121,36.34
2026-03-21 20:09:50,Z07,Z08 & Z06,1.411,0.06,28.28
2026-03-21 20:09:51,Z03,Z01 & Z04,1.363,0.03,54.0
2026-03-21 20:09:51,Z05,Z06 & Z02,1.481,0.135,39.6
2026-03-21 20:09:51,Z07,Z08 & Z06,1.5,0.141,28.37
2026-03-21 20:09:52,Z03,Z01 & Z04,1.378,0.025,57.62
2026-03-21 20:09:52,Z05,Z06 & Z02,1.309,-0.058,41.22
2026-03-21 20:09:52,Z07,Z08 & Z06,1.394,0.025,29.71
2026-03-21 20:09:53,Z03,Z01 & Z04,1.385,0.029,69.24
2026-03-21 20:09:53,Z05,Z06 & Z02,1.438,0.088,38.23
2026-03-21 20:09:53,Z07,Z08 & Z06,1.358,0.024,30.98
2026-03-21 20:09:54,Z03,Z01 & Z04,1.396,0.056,61.24
2026-03-21 20:09:54,Z05,Z06 & Z02,1.26,-0.077,40.84
2026-03-21 20:09:54,Z07,Z08 & Z06,1.326,-0.014,28.31
2026-03-21 20:09:55,Z03,Z01 & Z04,1.43,0.075,66.08
2026-03-21 20:09:55,Z05,Z06 & Z02,1.332,-0.009,42.71
2026-03-21 20:09:55,Z07,Z08 & Z06,1.31,-0.043,29.88
2026-03-21 20:09:56,Z03,Z01 & Z04,1.448,0.102,57.01
2026-03-21 20:09:56,Z05,Z06 & Z02,1.44,0.101,42.91
2026-03-21 20:09:56,Z07,Z08 & Z06,1.41,0.044,31.78
2026-03-21 20:09:57,Z03,Z01 & Z04,1.286,-0.056,54.84
2026-03-21 20:09:57,Z05,Z06 & Z02,1.405,0.064,38.46
2026-03-21 20:09:57,Z07,Z08 & Z06,1.356,0.025,32.38
2026-03-21 20:09:58,Z03,Z01 & Z04,1.359,0.01,59.76
2026-03-21 20:09:58,Z05,Z06 & Z02,1.327,-0.023,43.71
2026-03-21 20:09:58,Z07,Z08 & Z06,1.433,0.083,31.44
2026-03-21 20:09:59,Z03,Z01 & Z04,1.443,0.103,64.87
2026-03-21 20:09:59,Z05,Z06 & Z02,1.496,0.131,38.67
2026-03-21 20:09:59,Z07,Z08 & Z06,1.464,0.12,32.95
2026-03-21 20:10:01,Z03,Z01 & Z04,1.481,0.116,62.4
2026-03-21 20:10:01,Z05,Z06 & Z02,1.389,0.044,39.6
2026-03-21 20:10:01,Z07,Z08 & Z06,1.462,0.094,31.17
2026-03-21 20:10:01,Z03,Z01 & Z04,1.426,0.074,59.48
2026-03-21 20:10:01,Z05,Z06 & Z02,1.416,0.057,37.99
2026-03-21 20:10:01,Z07,Z08 & Z06,1.361,0.011,29.68
2026-03-21 20:10:03,Z03,Z01 & Z04,1.486,0.128,60.17
2026-03-21 20:10:03,Z05,Z06 & Z02,1.31,-0.047,46.19
2026-03-21 20:10:03,Z07,Z08 & Z06,1.38,0.022,33.41
2026-03-21 20:10:03,Z03,Z01 & Z04,1.446,0.112,57.57
2026-03-21 20:10:03,Z05,Z06 & Z02,1.454,0.111,43.73
2026-03-21 20:10:03,Z07,Z08 & Z06,1.416,0.082,30.01
2026-03-21 20:10:05,Z03,Z01 & Z04,1.403,0.057,66.98
2026-03-21 20:10:05,Z05,Z06 & Z02,1.511,0.142,44.66
2026-03-21 20:10:05,Z07,Z08 & Z06,1.467,0.106,31.99
2026-03-21 20:10:05,Z03,Z01 & Z04,1.399,0.031,53.87
2026-03-21 20:10:05,Z05,Z06 & Z02,1.486,0.12,36.2
2026-03-21 20:10:05,Z07,Z08 & Z06,1.452,0.105,33.72
2026-03-21 20:10:07,Z03,Z01 & Z04,1.339,-0.001,59.13
2026-03-21 20:10:07,Z05,Z06 & Z02,1.501,0.167,42.06
2026-03-21 20:10:07,Z07,Z08 & Z06,1.375,0.038,35.85
2026-03-21 20:10:07,Z03,Z01 & Z04,1.373,0.02,64.49
2026-03-21 20:10:07,Z05,Z06 & Z02,1.437,0.073,36.61
2026-03-21 20:10:07,Z07,Z08 & Z06,1.419,0.063,24.72
2026-03-21 20:10:09,Z03,Z01 & Z04,1.365,0.021,59.38
2026-03-21 20:10:09,Z05,Z06 & Z02,1.305,-0.054,41.09
2026-03-21 20:10:09,Z07,Z08 & Z06,1.395,0.029,31.19
2026-03-21 20:10:09,Z03,Z01 & Z04,1.367,0.023,57.37
2026-03-21 20:10:09,Z05,Z06 & Z02,1.428,0.097,44.45
2026-03-21 20:10:09,Z07,Z08 & Z06,1.338,0.003,31.24
2026-03-21 20:10:11,Z03,Z01 & Z04,1.34,-0.017,69.47
2026-03-21 20:10:11,Z05,Z06 & Z02,1.521,0.169,41.35
2026-03-21 20:10:11,Z07,Z08 & Z06,1.446,0.091,34.01
2026-03-21 20:10:11,Z03,Z01 & Z04,1.336,-0.025,66.09
2026-03-21 20:10:11,Z05,Z06 & Z02,1.356,-0.01,39.44
2026-03-21 20:10:11,Z07,Z08 & Z06,1.353,0.022,35.25
2026-03-21 20:10:13,Z03,Z01 & Z04,1.347,0.014,72.3
2026-03-21 20:10:13,Z05,Z06 & Z02,1.432,0.092,38.17
2026-03-21 20:10:13,Z07,Z08 & Z06,1.412,0.05,31.34
2026-03-21 20:10:13,Z03,Z01 & Z04,1.499,0.149,62.63
2026-03-21 20:10:13,Z05,Z06 & Z02,1.451,0.094,40.23
2026-03-21 20:10:13,Z07,Z08 & Z06,1.323,-0.02,33.02
2026-03-21 20:10:15,Z03,Z01 & Z04,1.346,0.003,57.2
2026-03-21 20:10:15,Z05,Z06 & Z02,1.407,0.072,37.11
2026-03-21 20:10:15,Z07,Z08 & Z06,1.313,-0.055,34.61
2026-03-21 20:10:15,Z03,Z01 & Z04,1.428,0.078,67.79
2026-03-21 20:10:15,Z05,Z06 & Z02,1.502,0.135,46.0
2026-03-21 20:10:15,Z07,Z08 & Z06,1.467,0.107,33.82
2026-03-21 20:10:17,Z03,Z01 & Z04,1.472,0.135,57.85
2026-03-21 20:10:17,Z05,Z06 & Z02,1.427,0.078,39.79
2026-03-21 20:10:17,Z07,Z08 & Z06,1.485,0.116,27.31
2026-03-21 20:10:17,Z03,Z01 & Z04,1.414,0.064,62.97
2026-03-21 20:10:17,Z05,Z06 & Z02,1.358,0.003,38.84
2026-03-21 20:10:17,Z07,Z08 & Z06,1.341,-0.005,30.66
2026-03-21 20:10:19,Z03,Z01 & Z04,1.374,0.023,61.34
2026-03-21 20:10:19,Z05,Z06 & Z02,1.386,0.028,45.04
2026-03-21 20:10:19,Z07,Z08 & Z06,1.431,0.089,30.91
2026-03-21 20:10:19,Z03,Z01 & Z04,1.443,0.086,70.54
2026-03-21 20:10:19,Z05,Z06 & Z02,1.474,0.115,36.59
2026-03-21 20:10:19,Z07,Z08 & Z06,1.326,-0.012,32.95
2026-03-21 20:10:21,Z03,Z01 & Z04,1.332,-0.021,55.9
2026-03-21 20:10:21,Z05,Z06 & Z02,1.267,-0.078,47.19
2026-03-21 20:10:21,Z07,Z08 & Z06,1.378,0.02,35.71
2026-03-21 20:10:21,Z03,Z01 & Z04,1.381,0.033,68.49
2026-03-21 20:10:21,Z05,Z06 & Z02,1.431,0.081,42.62
2026-03-21 20:10:21,Z07,Z08 & Z06,1.481,0.121,31.98
2026-03-21 20:10:23,Z03,Z01 & Z04,1.376,0.043,55.07
2026-03-21 20:10:23,Z05,Z06 & Z02,1.322,-0.008,37.56
2026-03-21 20:10:23,Z07,Z08 & Z06,1.364,0.024,26.95
2026-03-21 20:10:24,Z03,Z01 & Z04,1.436,0.081,57.38
2026-03-21 20:10:24,Z05,Z06 & Z02,1.382,0.013,42.24
2026-03-21 20:10:24,Z07,Z08 & Z06,1.27,-0.085,34.87
2026-03-21 20:10:25,Z03,Z01 & Z04,1.367,0.023,60.19
2026-03-21 20:10:25,Z05,Z06 & Z02,1.285,-0.056,38.49
2026-03-21 20:10:25,Z07,Z08 & Z06,1.348,-0.022,31.83
2026-03-21 20:10:26,Z03,Z01 & Z04,1.321,-0.011,66.72
2026-03-21 20:10:26,Z05,Z06 & Z02,1.516,0.171,39.7
2026-03-21 20:10:26,Z07,Z08 & Z06,1.435,0.076,34.02
2026-03-21 20:10:27,Z03,Z01 & Z04,1.359,0.006,51.63
2026-03-21 20:10:27,Z05,Z06 & Z02,1.469,0.117,46.11
2026-03-21 20:10:27,Z07,Z08 & Z06,1.384,0.024,31.92
2026-03-21 20:10:28,Z03,Z01 & Z04,1.484,0.129,67.89
2026-03-21 20:10:28,Z05,Z06 & Z02,1.43,0.1,33.1
2026-03-21 20:10:28,Z07,Z08 & Z06,1.401,0.049,27.97
2026-03-21 20:10:29,Z03,Z01 & Z04,1.391,0.039,69.59
2026-03-21 20:10:29,Z05,Z06 & Z02,1.282,-0.06,34.99
2026-03-21 20:10:29,Z07,Z08 & Z06,1.322,-0.018,29.5
2026-03-21 20:10:30,Z03,Z01 & Z04,1.465,0.12,59.04
2026-03-21 20:10:30,Z05,Z06 & Z02,1.345,0.006,46.13
2026-03-21 20:10:30,Z07,Z08 & Z06,1.397,0.048,37.33
2026-03-21 20:10:31,Z03,Z01 & Z04,1.328,-0.007,64.06
2026-03-21 20:10:31,Z05,Z06 & Z02,1.343,-0.003,41.84
2026-03-21 20:10:31,Z07,Z08 & Z06,1.314,-0.041,33.86
2026-03-21 20:10:32,Z03,Z01 & Z04,1.423,0.064,64.54
2026-03-21 20:10:32,Z05,Z06 & Z02,1.276,-0.071,41.18
2026-03-21 20:10:32,Z07,Z08 & Z06,1.351,-0.006,33.6
2026-03-21 20:10:33,Z03,Z01 & Z04,1.312,-0.045,62.88
2026-03-21 20:10:33,Z05,Z06 & Z02,1.476,0.122,36.23
2026-03-21 20:10:33,Z07,Z08 & Z06,1.369,0.03,27.92
2026-03-21 20:10:34,Z03,Z01 & Z04,1.414,0.054,59.02
2026-03-21 20:10:34,Z05,Z06 & Z02,1.304,-0.055,40.51
2026-03-21 20:10:34,Z07,Z08 & Z06,1.287,-0.062,30.97
2026-03-21 20:10:35,Z03,Z01 & Z04,1.326,-0.022,57.6
2026-03-21 20:10:35,Z05,Z06 & Z02,1.505,0.141,47.59
2026-03-21 20:10:35,Z07,Z08 & Z06,1.385,0.049,33.69
2026-03-21 20:10:36,Z03,Z01 & Z04,1.461,0.111,70.35
2026-03-21 20:10:36,Z05,Z06 & Z02,1.408,0.065,37.75
2026-03-21 20:10:36,Z07,Z08 & Z06,1.434,0.075,34.46
2026-03-21 20:10:37,Z03,Z01 & Z04,1.472,0.118,63.53
2026-03-21 20:10:37,Z05,Z06 & Z02,1.447,0.112,40.12
2026-03-21 20:10:37,Z07,Z08 & Z06,1.336,-0.019,36.37
2026-03-21 20:10:38,Z03,Z01 & Z04,1.472,0.135,52.17
2026-03-21 20:10:38,Z05,Z06 & Z02,1.31,-0.024,41.09
2026-03-21 20:10:38,Z07,Z08 & Z06,1.314,-0.028,27.79
2026-03-21 20:10:39,Z03,Z01 & Z04,1.368,0.029,66.01
2026-03-21 20:10:39,Z05,Z06 & Z02,1.403,0.034,44.57
2026-03-21 20:10:39,Z07,Z08 & Z06,1.399,0.034,33.61
2026-03-21 20:10:40,Z03,Z01 & Z04,1.437,0.087,53.11
2026-03-21 20:10:40,Z05,Z06 & Z02,1.423,0.067,39.35
2026-03-21 20:10:40,Z07,Z08 & Z06,1.532,0.173,35.26
2026-03-21 20:10:41,Z03,Z01 & Z04,1.384,0.042,65.18
2026-03-21 20:10:41,Z05,Z06 & Z02,1.422,0.054,48.4
2026-03-21 20:10:41,Z07,Z08 & Z06,1.37,0.013,33.89
2026-03-21 20:10:42,Z03,Z01 & Z04,1.325,-0.029,68.98
2026-03-21 20:10:42,Z05,Z06 & Z02,1.422,0.063,41.96
2026-03-21 20:10:42,Z07,Z08 & Z06,1.421,0.061,33.56
2026-03-21 20:10:43,Z03,Z01 & Z04,1.442,0.086,64.3
2026-03-21 20:10:43,Z05,Z06 & Z02,1.335,-0.035,40.47
2026-03-21 20:10:43,Z07,Z08 & Z06,1.337,-0.018,31.65
2026-03-21 20:10:44,Z03,Z01 & Z04,1.309,-0.048,60.64
2026-03-21 20:10:44,Z05,Z06 & Z02,1.493,0.141,35.34
2026-03-21 20:10:44,Z07,Z08 & Z06,1.369,0.008,30.71
2026-03-21 20:10:45,Z03,Z01 & Z04,1.435,0.069,67.88
2026-03-21 20:10:45,Z05,Z06 & Z02,1.34,0.006,39.17
2026-03-21 20:10:45,Z07,Z08 & Z06,1.362,-0.006,26.43
2026-03-21 20:10:46,Z03,Z01 & Z04,1.282,-0.058,59.35
2026-03-21 20:10:46,Z05,Z06 & Z02,1.505,0.144,40.42
2026-03-21 20:10:46,Z07,Z08 & Z06,1.365,0.033,30.55
2026-03-21 20:19:18,Z03,Z01 & Z04,1.45,0.114,64.16
2026-03-21 20:19:18,Z05,Z06 & Z02,1.374,0.024,43.84
2026-03-21 20:19:18,Z07,Z08 & Z06,1.347,0.003,31.91
2026-03-21 20:19:18,Z03,Z01 & Z04,1.449,0.109,66.67
2026-03-21 20:19:18,Z05,Z06 & Z02,1.441,0.088,46.8
2026-03-21 20:19:18,Z07,Z08 & Z06,1.429,0.095,33.23
